numero_pedido,fecha_pedido,fecha_vencimiento,monto_neto,codigo_cliente,nombre_cliente,direccion_cliente,ciudad_cliente,codigo_articulo,descripcion_articulo,cantidad_pedida,precio_unitario,prioridad
2,5/9/2024 11:31,5/9/2024 11:31,141.00,297419748,MULTISERVICIOS SOUBLETTE A.C. C.A.,AV PRINCIPAL DE LA URB SOUBLETE LOCAL S/N URB LA SOUBLETTE  CATIA LA MAR EDO LA GUAIRA,CATIA LA MAR,GMOD001R                      ,MOBIL ATF D/M DEXRON III H API ALLISON C-4 MERCON DEXRON IIIH  (12 X 0.95 LT),"100,000","6,900,000",Alta
2,5/9/2024 11:31,5/9/2024 11:31,141.00,297419748,MULTISERVICIOS SOUBLETTE A.C. C.A.,AV PRINCIPAL DE LA URB SOUBLETE LOCAL S/N URB LA SOUBLETTE  CATIA LA MAR EDO LA GUAIRA,CATIA LA MAR,GMOD008R                      ,MOBIL ATF D/M DEXRON VI GM DEXRON VI  ( 6X0.95 LT ),"100,000","7,200,000",Alta
3,5/9/2024 11:33,5/9/2024 11:33,160.08,295336284,AUTOLAVADO Y ENGRASE CAMPANITA 2007 C.A.,AV LA PLAYA LOCAL PARCELA DE TERRENO NRO 2 URB CATIA LA MAR EDO LA GUAIRA,LA GUAIRA,GMOD001R                      ,MOBIL ATF D/M DEXRON III H API ALLISON C-4 MERCON DEXRON IIIH  (12 X 0.95 LT),"200,000","6,900,000",Alta
24,5/17/2024 17:50,5/17/2024 17:50,1090.00,307292342,"SERVICAUCHO LOS GALLO, C.A.",AV. LOS PROCERES GALPON SERVICAUCHO LOS GALLO S/N SECTOR LA PEDREGOSA. MERIDA. ESATDO MERIDA.,MERIDA,GHYA018R                      ,HYUNDAI XTEER G700 10W40 API SP ( CAJA 4 X 4 LT ),"500,000","8,800,000",Alta
24,5/17/2024 17:50,5/17/2024 17:50,1090.00,307292342,"SERVICAUCHO LOS GALLO, C.A.",AV. LOS PROCERES GALPON SERVICAUCHO LOS GALLO S/N SECTOR LA PEDREGOSA. MERIDA. ESATDO MERIDA.,MERIDA,GHYD008R                      ,HYUNDAI XTEER ATF SP 3 HV (  12 X 1 LT ),"1,000,000","6,500,000",Alta
19,5/13/2024 14:15,5/20/2024 14:15,9035.00,402380135,TRANSPORTE RAUDO 1729 C.A.,AV GONZALEZ RINCONES CON CALLE LA LIMONERA EDF RODE PISO PB LOCAL PB URB ZONA INDUSTRIAL LA TRINIDAD CARACAS EDO MIRANDA,CARACAS,GMOA028R                      ,"MOBIL SUPER MOTO 4T 20W50 API SL, JASO MA 2016, JASO MA2 2016 ( 12X1 LT)","1,500,000","7,000,000",Alta
19,5/13/2024 14:15,5/20/2024 14:15,9035.00,402380135,TRANSPORTE RAUDO 1729 C.A.,AV GONZALEZ RINCONES CON CALLE LA LIMONERA EDF RODE PISO PB LOCAL PB URB ZONA INDUSTRIAL LA TRINIDAD CARACAS EDO MIRANDA,CARACAS,GMOA031R                      ,"MOBIL SUPER 3000 XE 5W30 API SN, ACEA A3/B4, MB 229-3 PORSCHE A40 ( CAJA 12X0.95 LT )","1,000,000","10,600,000",Alta
19,5/13/2024 14:15,5/20/2024 14:15,9035.00,402380135,TRANSPORTE RAUDO 1729 C.A.,AV GONZALEZ RINCONES CON CALLE LA LIMONERA EDF RODE PISO PB LOCAL PB URB ZONA INDUSTRIAL LA TRINIDAD CARACAS EDO MIRANDA,CARACAS,GMOG003S                      ,MOBILGREASE XHP 222 COMPLEJO DE LITIO NLGI 2 DIN 51825-204-06-KP 2 N-20 (CART 10X0.39 KG),"4,000,000","6,700,000",Alta
19,5/13/2024 14:15,5/20/2024 14:15,9035.00,402380135,TRANSPORTE RAUDO 1729 C.A.,AV GONZALEZ RINCONES CON CALLE LA LIMONERA EDF RODE PISO PB LOCAL PB URB ZONA INDUSTRIAL LA TRINIDAD CARACAS EDO MIRANDA,CARACAS,GMOA040R                      ,"MOBIL 1 0W20 API SP CONSERVADOR DE RECURSOS, SP, SN, 10.000 MILLAS (6 X 1 LT )","1,000,000","7,200,000",Alta
19,5/13/2024 14:15,5/20/2024 14:15,9035.00,402380135,TRANSPORTE RAUDO 1729 C.A.,AV GONZALEZ RINCONES CON CALLE LA LIMONERA EDF RODE PISO PB LOCAL PB URB ZONA INDUSTRIAL LA TRINIDAD CARACAS EDO MIRANDA,CARACAS,GMOA046R                      ,"MOBIL SUPER 2000 5W30 API SP CONSERVADOR DE RECURSOS, ILSAC GF-6A ( 12X0.95 LT)","1,500,000","7,500,000",Alta
19,5/13/2024 14:15,5/20/2024 14:15,9035.00,402380135,TRANSPORTE RAUDO 1729 C.A.,AV GONZALEZ RINCONES CON CALLE LA LIMONERA EDF RODE PISO PB LOCAL PB URB ZONA INDUSTRIAL LA TRINIDAD CARACAS EDO MIRANDA,CARACAS,GMOB021R                      ,MOBIL DELVAC MODERN 15W40 SUPER DEFENSE V3 (PAILA 18.9 LT),"2,500,000","9,600,000",Alta
