co_cli;tip_cli;cli_des;ven_des
"0000000002      ";"00    ";CONSUMO INTERNO CARACAS;OFICINA
"0000000003      ";"00    ";CONSUMO INTERNO VALENCIA;OFICINA/ LUIS PULIDO
"000000001       ";"00    ";EVENTOS MARKETING;MERCADEO
"000082120       ";"00    ";CONSTRUCTORA PEDECA C.A.;RM OFICINA
"000107017       ";"00    ";DELL ACQUA, C.A.;FRANCISCO CARVAJAL
"000189188       ";"00    ";HOTEL WALDORF C.A.;OFICINA
"000194211       ";"00    ";INDUSTRIA VENEZOLANA REMOLQUES ORINOCO, C.A. (I.V.R.O.C.A.);OFICINA/ LUIS PULIDO
"000215006       ";"00    ";LABORATORIOS LETI S.A.V;OFICINA
"000312591       ";"00    ";RESPONSABLE DE VENEZUELA C.A.;OFICINA
"000341940       ";"00    ";SERVICIO PAN AMERICANO DE PROTECCION, C.A.;LENIN GONZALEZ
"000386579       ";"00    ";VINCCLER C.A.;OFICINA
"000406545       ";"00    ";C.A. LABORATORIOS ASOCIADOS.;RM OFICINA
"000468494       ";"00    ";GENERAL DISTRIBUIDORA S.A. GEDISA;DOUGLAS BOCOURT
"000485615       ";"00    ";ROYAL AUTORAMA, C.A.;OFICINA
"000488207       ";"00    ";INDUSTRIAS FERROGALVAN DE VENEZUELA SA;JOHENDER GIRO
"000509085       ";"00    ";MACK DE VENEZUELA C.A.;OFICINA
"000512809       ";"00    ";CAUCHOS ALTAMIRA, C.A.;FRANCISCO CARVAJAL
"000556393       ";"00    ";MINI BRUNO SUCESORES C.A.;LENIN GONZALEZ
"000587949       ";"00    ";CAUCHOS DEL SUR, C.A;FRANCISCO CARVAJAL
"000623297       ";"00    ";CAUCHOS OVIDIO C.A.;OFICINA
"000642788       ";"00    ";NOMAD 4WD, C.A.;FRANCISCO CARVAJAL
"000666172       ";"00    ";CLUB HIPICO CARACAS S.C.;JOSE FELIX ALVAREZ
"000684111       ";"00    ";CONTRUCCIONES YAMARO C.A.;OFICINA
"000733724       ";"00    ";CAUCHOS Y FRENOS IBARRA S.R.L;LENIN GONZALEZ
"000761213       ";"00    ";TELE CATIA, C.A.;GABRIEL RAMIREZ
"000783195       ";"00    ";DIGA SALA. C.A.;DOUGLAS BOCOURT
"000914257       ";"00    ";SERVICIO TECNICO VENCAR C.A.;GABRIEL RAMIREZ
"000926689       ";"00    ";SOVICA ELECTRONICS;OFICINA
"000954500       ";"00    ";SVF CONSULTING REPRESENTACIONES C.A.;OFICINA
"001021744       ";"00    ";ZOOM INTERNATIONAL SERVICES, C.A.;OFICINA
"001120297       ";"00    ";CAUCHOS SERVI-RUEDAS C.A.;ALESSSANDRO MONTANARI
"001124420       ";"00    ";AUTO FRENO SAN IGNACIO,C.A.;ALESSSANDRO MONTANARI
"001184120       ";"00    ";CAUCHOS CHARALLAVITOS, C.A.;FRANCISCO CARVAJAL
"001255524       ";"00    ";NEUMATICOS GUAYANA C.A.;OFICINA
"001280847       ";"05    ";INVERSIONES RODIFRE C.A.;RM OFICINA
"001293589       ";"00    ";COMERCIAL AEROPUERTO DEL TUY, C.A.;FRANCISCO CARVAJAL
"001338527       ";"00    ";CAUCHOS EL TERMINAL C.A.;IVAN MACUCHA
"001372700       ";"00    ";ESTACION DE SERVICIO KM 1 C.A.;LENIN GONZALEZ
"001409343       ";"00    ";REPUESTOS Y ACCESORIOS 2000;GABRIEL RAMIREZ
"001461485       ";"00    ";CAUCHOS LOS TAVARES, C.A.;DOUGLAS BOCOURT
"001484191       ";"00    ";TECNICAUCHO CANTACLARO C.A.;FRANCISCO CARVAJAL
"001490507       ";"00    ";INVERSIONES BURCA S.R.L.;GABRIEL RAMIREZ
"001559442       ";"00    ";TALLER ANFES SRL;OFICINA
"001602577       ";"00    ";BOLEITA MOTORS C.A.;DOUGLAS BOCOURT
"001619909       ";"00    ";SERVICO TECNICO DE CAUCHOS VARGAS C.A;JOHENDER GIRO
"001700897       ";"00    ";AUTOLAVADO EL MAYORAL, C.A.;GABRIEL RAMIREZ
"001714553       ";"00    ";AUTO FRENOS DAVSN M C.A.;LENIN GONZALEZ
"001724443       ";"00    ";AUTO SERVICIO CASTRO C.A.;LENIN GONZALEZ
"001728635       ";"00    ";CAUCHOS LOS CHORROS, C.A.;FRANCISCO CARVAJAL
"001959211       ";"00    ";MATADERO DE AVES LA TROPICAL C.A.;LENIN GONZALEZ
"002013567       ";"00    ";PRODUCTOS QUIMICOS L.M.V. C.A.;FRANCISCO CARVAJAL
"002069066       ";"00    ";CAUCHOS DALA, C.A.;DOUGLAS BOCOURT
"002077760       ";"00    ";TRANSERVICA C.A.;ALEXANDER REVEROL
"002136537       ";"00    ";ESTACION DE SERVICIO COROMOTO C.A.;FREDDY EGUI
"002175117       ";"00    ";CAUCHOS LOS CAOBOS, C.A.;FRANCISCO CARVAJAL
"002309210       ";"00    ";INVERSORA DICASILCA C.A.;FELIX URBINA
"002355727       ";"00    ";AGROPECUARIA EL RETORNO, C.A.;OFICINA
"002390395       ";"00    ";COMPRESORES ROY CARACAS C.A.;RM OFICINA
"002397942       ";"00    ";JARDINES EL CERCADO C.A.;FRANCISCO CARVAJAL
"002468971       ";"01    ";ALMACENADORA MARALY, C.A.;RM OFICINA
"002489596       ";"00    ";CAUCHOS MENDEZ, C.A.;FRANCISCO CARVAJAL
"002719707       ";"00    ";CLAUDIO MORENO;OFICINA
"002738456       ";"00    ";CENTRO AUTOMOTRIZ LOS VIKINGOS C.A.;JOHENDER GIRO
"002745398       ";"00    ";DISTRIBUIDORA ROTUTO C.A.;LENIN GONZALEZ
"002747552       ";"00    ";ALFARERIA LA MARGARITA C.A.;DOUGLAS BOCOURT
"002756594       ";"00    ";MUDANZAS INTERNACIONALES GLOBAL C A;JOHENDER GIRO
"002758333       ";"00    ";MULTISERVICIOS LA PASTORA, C.A;FELIX URBINA
"002850604       ";"00    ";PALUMBO W CENTER C.A.;GABRIEL RAMIREZ
"002991984       ";"00    ";CAUCHOS SILVA Y MARQUEZ, C.A.;FRANCISCO CARVAJAL
"003002160       ";"00    ";CAUCHOS RIO DE ORO C.A.;FRANCISCO CARVAJAL
"003098159       ";"00    ";INVERSIONES HIEYLIC C.A.;FRANCISCO CARVAJAL
"003139912       ";"00    ";REPUESTOS PIDA Y PAGUE C.A.;LENIN GONZALEZ
"003168351       ";"00    ";HELICENTER MANTENIMIENTO DE HELICOPTEROS C.A.;FRANCISCO CARVAJAL
"003220779       ";"00    ";CORPORACION MOTRIZ N K M C.A.;LENIN GONZALEZ
"003259071       ";"00    ";SERVICIOS ELECTROINDUSTRIALES SERVIELECT, C.A.;JOSE FELIX ALVAREZ
"003266191       ";"00    ";AUSTRAL IMPORT DE VENEZUELA, C.A.;OFICINA
"003415162       ";"00    ";BEATRIZ MARBELIZ;LENIN GONZALEZ
"003439541       ";"00    ";INVERSIONES FEDERCAUCHO C.A.;LENIN GONZALEZ
"003554987       ";"00    ";CORPORACION EXIAUTO, C.A.;FRANCISCO CARVAJAL
