co_cli;cliente;ciudad;direccion_principal;direccion_temporal;latitud;longitud;corregida
"000000001       ";EVENTOS MARKETING;CARACAS;TURAGUA EDO ARAGUA;NULL;10.46132927;-66.60308826;SI
"000587949       ";CAUCHOS DEL SUR, C.A;CARACAS;AV. LAS CIENCIAS ESQ. VARGAS EDIF. CANDE LOCAL B KIS CHAGUARAMOS, CARACAS;NULL;10.48408011;-66.88756223;SI
"001372700       ";ESTACION DE SERVICIO KM 1 C.A.;CARACAS;CTRA PANAMERICANA KM1 LOCAL NRO S/N URB COCHE CARACAS DTTO CAPITAL;NULL;10.45339080;-66.92592390;SI
"001714553       ";AUTO FRENOS DAVSN M C.A.;PARIATA;CALLE REAL LOS DOS CERRITOS ENTRE CINZANITO Y CEMENTERIO EDDY 86 PS PISO PB LOCAL 2 URB PARIATA MAIQUETIA EDO LA GUAIRA;NULL;10.59691910;-66.96518230;SI
"001724443       ";AUTO SERVICIO CASTRO C.A.;CATIA LA MAR;CALLE PROLONGACION SOUBLETTE LOCAL NRO S/N URB SOUBLETTE CATIA LA MAR EDO LA GUAIRA;NULL;10.59947890;-67.03873980;SI
"002175117       ";CAUCHOS LOS CAOBOS, C.A.;CARACAS;AV RIO DE JANEIRO, ENTRE LA AV. LA SALLE Y AV. LAS PALMAS, QTA CARMINA. LOS CAOBOS. CARACAS.;NULL;10.50155813;-66.88367408;SI
"002738456       ";CENTRO AUTOMOTRIZ LOS VIKINGOS C.A.;CARACAS;LOCAL NRO S/N SECTOR LA ESTACION VIA PARAISO DEL TUY SANTA TERESA DEL TUY EDO MIRANDA;NULL;10.23634390;-66.65946110;SI
"002745398       ";DISTRIBUIDORA ROTUTO C.A.;LA GUAIRA;AV. LA ATLANTIDA ENTRE CALLE 4 Y 5 EDIF.ROTUTOCA PISO PB OF S/N URB.LA ATLANTIDA CATIA LA MAR LA GUAIRA;NULL;10.60446080;-67.03039910;SI
"003098159       ";INVERSIONES HIEYLIC C.A.;CARACAS;ALTAMIRA CARACAS;NULL;10.49902849;-66.84461971;SI
"003139912       ";REPUESTOS PIDA Y PAGUE C.A.;SAN ANTONIO DE LOS ALTOS;CTRA PANAMERICANA KM 14 CC LOS LLANEROS NIVEL PB LOCAL S/N SECTOR LOS LLANEROS SAN ANTONIO DE LOS ALTOS EDO MIRANDA;NULL;10.37355360;-66.97083390;SI
"003220779       ";CORPORACION MOTRIZ N K M C.A.;CARACAS;AV LA HOYADA LOCAL NRO 1-1 URB LOS TEQUES LOS TEQUES EDO MIRANDA;NULL;10.34501190;-67.04131280;SI
"003738913       ";CAUCHOS APOLO 15, C.A.;CARACAS;AV. MIGUEL ANGEL DE BELLO MONTE;NULL;10.48609801;-66.87291940;SI
"075802365       ";MULTISERVICIOS DON LUIS C.A;VALENCIA;AV SALVADOR FEO LA CRUZ LOCAL NRO 91-205 SECTOR MAÑNGO VALENCIA EDO CARABOBO;NULL;10.23409460;-68.00380617;SI
"127297190       ";AGUSTIN MANUEL RODRIGUEZ Y/O DISTRIBUIDORA LUBRIAUTO;CARRIZALEZ;CALLE BOLIVAR EDIF NUESTRA SEÑORA DEL ROSARIO DE FATIMA PISO PB LOCAL 1 SECTOR CENTRO DE CARRIZALEZ EDO MIRANDA;NULL;10.34814260;-66.99262720;SI
"16329434        ";QUINTIN HERNANDEZ;CARACAS;BARRIO SAN BLAS PETARE EDO. MIRANDA;NULL;10.48965493;-66.86831487;SI
